-71.0983446,42.3740014,18 Clary St, Cambridge, Ma, 3767
-71.1005284,42.3741907,16 Springfield St, Cambridge, Ma, 3315
-71.1084073,42.3661364,26 Soden St, Cambridge, Ma, 524
-71.1086707,42.3667922,411 Franklin St, Cambridge, Ma, 525
-71.1078287,42.3660094,348 Franklin St, Cambridge, Ma, 559
-71.1078262,42.3668286,466 Green St, Cambridge, Ma, 560
-71.1074227,42.3657411,332 Franklin St, Cambridge, Ma, 561
-71.1062212,42.3667524,806 Massachusetts Ave, Cambridge, Ma, 564
-71.1058615,42.3664624,770 Massachusetts Ave, Cambridge, Ma, 566
-71.1054671,42.3653158,5 Western Ave, Cambridge, Ma, 568
-71.1068965,42.3672146,838 Massachusetts Ave, Cambridge, Ma, 573
-71.1070196,42.3673042,842 Massachusetts Ave, Cambridge, Ma, 574
-71.1075838,42.3652456,101 Western Ave, Cambridge, Ma, 1040
-71.1084125,42.3642985,109 River St, Cambridge, Ma, 1174
-71.1092861,42.3654097,29 Kinnaird St, Cambridge, Ma, 8
-71.1143245,42.3670781,900 Memorial Dr, Cambridge, Ma, 470
-71.1152956,42.3668177,900 Memorial Dr, Cambridge, Ma, 470
-71.1149879,42.3662391,900 Memorial Dr, Cambridge, Ma, 470
-71.1154652,42.3659452,900 Memorial Dr, Cambridge, Ma, 470
-71.1138163,42.3669171,900 Memorial Dr, Cambridge, Ma, 470
-71.1105254,42.3639103,12 Howard St, Cambridge, Ma, 1996
-71.1101098,42.3641993,11-A Jay St, Cambridge, Ma, 1628
-71.1085677,42.3650742,135 Western Ave, Cambridge, Ma, 2181
-71.1063963,42.3657371,13 Pleasant St, Cambridge, Ma, 2323
-71.1083733,42.365813,14 Soden St, Cambridge, Ma, 2648
-71.108123,42.3657191,13 Soden St, Cambridge, Ma, 2337
-71.1086868,42.3650436,141 Western Ave, Cambridge, Ma, 2397
-71.1065543,42.3655932,15 Pleasant St, Cambridge, Ma, 2983
-71.1083631,42.365902,16 Soden St, Cambridge, Ma, 3313
-71.1096003,42.3654366,1 Jay Street Pl, Cambridge, Ma, 4184
-71.1104146,42.364675,208 Western Ave, Cambridge, Ma, 4356
-71.1083965,42.3660304,20 Soden St, Cambridge, Ma, 4495
-71.1098295,42.3673351,22 Hancock St, Cambridge, Ma, 4898
